	Gamma	n	P	alpha	m	l	Re	Im
75	A1	1	(2, 0, 0)	1	1	1	-0.7071067811865476	0.0
76	B1	1	(-1, -1, 0)	1	0	1	-1.0	0.0
77	B1	1	(-1, 0, -1)	1	-1	1	0.0	-0.7071067811865476
78	B1	1	(-1, 0, -1)	1	1	1	0.0	-0.7071067811865476
79	B1	1	(-1, 0, 1)	1	-1	1	0.0	0.7071067811865476
80	B1	1	(-1, 0, 1)	1	1	1	0.0	0.7071067811865476
81	B1	1	(-1, 1, 0)	1	0	1	1.0	0.0
82	B1	1	(0, -1, -1)	1	-1	1	-0.7071067811865476	0.0
83	B1	1	(0, -1, -1)	1	1	1	0.7071067811865476	0.0
84	B1	1	(0, -1, 1)	1	-1	1	0.7071067811865476	0.0
85	B1	1	(0, -1, 1)	1	1	1	-0.7071067811865476	0.0
86	B1	1	(0, 1, -1)	1	-1	1	-0.7071067811865476	0.0
87	B1	1	(0, 1, -1)	1	1	1	0.7071067811865476	0.0
88	B1	1	(0, 1, 1)	1	-1	1	0.7071067811865476	0.0
89	B1	1	(0, 1, 1)	1	1	1	-0.7071067811865476	0.0
90	B1	1	(1, -1, 0)	1	0	1	1.0	0.0
91	B1	1	(1, 0, -1)	1	-1	1	0.0	-0.7071067811865476
92	B1	1	(1, 0, -1)	1	1	1	0.0	-0.7071067811865476
93	B1	1	(1, 0, 1)	1	-1	1	0.0	0.7071067811865476
94	B1	1	(1, 0, 1)	1	1	1	0.0	0.7071067811865476
95	B1	1	(1, 1, 0)	1	0	1	1.0	0.0
96	B2	1	(-1, -1, 0)	1	-1	1	-0.5	0.5
97	B2	1	(-1, -1, 0)	1	1	1	0.5	0.5
98	B2	1	(-1, 0, -1)	1	-1	1	0.5	0.0
99	B2	1	(-1, 0, -1)	1	0	1	-0.7071067811865476	0.0
100	B2	1	(-1, 0, -1)	1	1	1	-0.5	0.0
101	B2	1	(-1, 0, 1)	1	-1	1	0.5	0.0
102	B2	1	(-1, 0, 1)	1	0	1	0.7071067811865476	0.0
103	B2	1	(-1, 0, 1)	1	1	1	-0.5	0.0
104	B2	1	(-1, 1, 0)	1	-1	1	0.5	0.5
105	B2	1	(-1, 1, 0)	1	1	1	-0.5	0.5
106	B2	1	(0, -1, -1)	1	-1	1	0.0	-0.5
107	B2	1	(0, -1, -1)	1	0	1	0.7071067811865476	0.0
108	B2	1	(0, -1, -1)	1	1	1	0.0	-0.5
109	B2	1	(0, -1, 1)	1	-1	1	0.0	-0.5
110	B2	1	(0, -1, 1)	1	0	1	-0.7071067811865476	0.0
111	B2	1	(0, -1, 1)	1	1	1	0.0	-0.5
112	B2	1	(0, 1, -1)	1	-1	1	0.0	0.5
113	B2	1	(0, 1, -1)	1	0	1	0.7071067811865476	0.0
114	B2	1	(0, 1, -1)	1	1	1	0.0	0.5
115	B2	1	(0, 1, 1)	1	-1	1	0.0	0.5
116	B2	1	(0, 1, 1)	1	0	1	-0.7071067811865476	0.0
117	B2	1	(0, 1, 1)	1	1	1	0.0	0.5
118	B2	1	(1, -1, 0)	1	-1	1	-0.5	-0.5
119	B2	1	(1, -1, 0)	1	1	1	0.5	-0.5
120	B2	1	(1, 0, -1)	1	-1	1	-0.5	0.0
121	B2	1	(1, 0, -1)	1	0	1	-0.7071067811865476	0.0
