 Irrep 	 alpha 	 beta 	 M 	 coefficient
A1	1	1	-1	1/12*(I*2^(1/2)+2)*2^(1/2)*3^(1/2)
A1	1	1	0	-1/6*2^(1/2)*3^(1/2)*(I*2^(1/2)-1)
A1	1	1	1	1/12*(I*2^(1/2)+2)*2^(1/2)*3^(1/2)
B1	1	1	-1	-1/2*2^(1/2)
B1	1	1	0	0
B1	1	1	1	1/2*2^(1/2)
B2	1	1	-1	-1/12*2^(1/2)*3^(1/2)*(I*2^(1/2)-2)
B2	1	1	0	1/6*2^(1/2)*3^(1/2)*(I*2^(1/2)+1)
B2	1	1	1	-1/12*2^(1/2)*3^(1/2)*(I*2^(1/2)-2)
