 Irrep 	 alpha 	 beta 	 M 	 coefficient
A1	1	1	-1	(1/10+1/5*I)*5^(1/2)
A1	1	1	0	(1/10+1/5*I)*5^(1/2)*2^(1/2)
A1	1	1	1	(-1/10-1/5*I)*5^(1/2)
B1	1	1	-1	-1/2*I*2^(1/2)
B1	1	1	0	0
B1	1	1	1	-1/2*I*2^(1/2)
B2	1	1	-1	(1/10-1/5*I)*5^(1/2)
B2	1	1	0	(-1/10+1/5*I)*5^(1/2)*2^(1/2)
B2	1	1	1	(-1/10+1/5*I)*5^(1/2)
