 Irrep 	 alpha 	 beta 	 M 	 coefficient
T1u	1	1	-1	1/2*I*2^(1/2)
T1u	1	1	0	0
T1u	1	1	1	1/2*I*2^(1/2)
T1u	2	1	-1	0
T1u	2	1	0	I
T1u	2	1	1	0
T1u	3	1	-1	-1/2*I*2^(1/2)
T1u	3	1	0	0
T1u	3	1	1	1/2*I*2^(1/2)
T1u	1	2	-1	1/2*2^(1/2)
T1u	1	2	0	0
T1u	1	2	1	1/2*2^(1/2)
T1u	2	2	-1	0
T1u	2	2	0	1
T1u	2	2	1	0
T1u	3	2	-1	-1/2*2^(1/2)
T1u	3	2	0	0
T1u	3	2	1	1/2*2^(1/2)
T1u	1	3	-1	0
T1u	1	3	0	0
T1u	1	3	1	0
T1u	2	3	-1	0
T1u	2	3	0	0
T1u	2	3	1	0
T1u	3	3	-1	0
T1u	3	3	0	0
T1u	3	3	1	0
