Irrep 	 alpha 	 beta 	 name 	 coefficient 	  p^1 	 p^2 	 q
A1	1	1	E	1/6	"(-1, 1, 1)"	"(0, 0, 0)"	"(0.500000, 0.500000, 0.500000)"
A1	1	1	C33+	1/6	"(-1, 1, 1)"	"(0, 0, 0)"	"(0.500000, 0.500000, 0.500000)"
A1	1	1	C33-	1/6	"(-1, 1, 1)"	"(0, 0, 0)"	"(0.500000, 0.500000, 0.500000)"
A1	1	1	sigma_d6	1/6	"(-1, 1, 1)"	"(0, 0, 0)"	"(0.500000, 0.500000, 0.500000)"
A1	1	1	sigma_d3	1/6	"(-1, 1, 1)"	"(0, 0, 0)"	"(0.500000, 0.500000, 0.500000)"
A1	1	1	sigma_d1	1/6	"(-1, 1, 1)"	"(0, 0, 0)"	"(0.500000, 0.500000, 0.500000)"
A1	1	1	E	1/6	"(-1, 1, 0)"	"(0, 0, 1)"	"(0.500000, 0.500000, -0.500000)"
A1	1	1	C33+	1/6	"(0, 1, 1)"	"(-1, 0, 0)"	"(0.500000, 0.500000, -0.500000)"
A1	1	1	C33-	1/6	"(-1, 0, 1)"	"(0, 1, 0)"	"(0.500000, 0.500000, -0.500000)"
A1	1	1	sigma_d6	1/6	"(-1, 0, 1)"	"(0, 1, 0)"	"(0.500000, 0.500000, -0.500000)"
A1	1	1	sigma_d3	1/6	"(0, 1, 1)"	"(-1, 0, 0)"	"(0.500000, 0.500000, -0.500000)"
A1	1	1	sigma_d1	1/6	"(-1, 1, 0)"	"(0, 0, 1)"	"(0.500000, 0.500000, -0.500000)"
A1	1	1	E	1/6	"(-1, 0, 1)"	"(0, 1, 0)"	"(0.500000, -0.500000, 0.500000)"
A1	1	1	C33+	1/6	"(-1, 1, 0)"	"(0, 0, 1)"	"(0.500000, -0.500000, 0.500000)"
A1	1	1	C33-	1/6	"(0, 1, 1)"	"(-1, 0, 0)"	"(0.500000, -0.500000, 0.500000)"
A1	1	1	sigma_d6	1/6	"(-1, 1, 0)"	"(0, 0, 1)"	"(0.500000, -0.500000, 0.500000)"
A1	1	1	sigma_d3	1/6	"(-1, 0, 1)"	"(0, 1, 0)"	"(0.500000, -0.500000, 0.500000)"
A1	1	1	sigma_d1	1/6	"(0, 1, 1)"	"(-1, 0, 0)"	"(0.500000, -0.500000, 0.500000)"
A1	1	1	E	1/6	"(0, 1, 1)"	"(-1, 0, 0)"	"(-0.500000, 0.500000, 0.500000)"
