Irrep 	 alpha 	 beta 	 name 	 coefficient 	  p^1 	 p^2 	 q
E	1	2	sigma_d1	-1/4*I	"(0, -1, 0)"	"(0, 1, 1)"	"(1.000000, 0.000000, -0.500000)"
E	1	2	sigma_d2	1/4*I	"(0, 1, 0)"	"(0, -1, 1)"	"(1.000000, 0.000000, -0.500000)"
E	1	2	sigma_x	-1/4	"(1, 0, 0)"	"(-1, 0, 1)"	"(-1.000000, 0.000000, -0.500000)"
E	1	2	sigma_y	1/4	"(-1, 0, 0)"	"(1, 0, 1)"	"(-1.000000, 0.000000, -0.500000)"
E	1	2	sigma_d1	-1/4*I	"(0, 1, 0)"	"(0, -1, 1)"	"(-1.000000, 0.000000, -0.500000)"
E	1	2	sigma_d2	1/4*I	"(0, -1, 0)"	"(0, 1, 1)"	"(-1.000000, 0.000000, -0.500000)"
E	1	2	sigma_x	-1/4	"(0, 1, 0)"	"(0, -1, 1)"	"(0.000000, 1.000000, -0.500000)"
E	1	2	sigma_y	1/4	"(0, -1, 0)"	"(0, 1, 1)"	"(0.000000, 1.000000, -0.500000)"
E	1	2	sigma_d1	-1/4*I	"(-1, 0, 0)"	"(1, 0, 1)"	"(0.000000, 1.000000, -0.500000)"
E	1	2	sigma_d2	1/4*I	"(1, 0, 0)"	"(-1, 0, 1)"	"(0.000000, 1.000000, -0.500000)"
E	1	2	sigma_x	-1/4	"(0, -1, 0)"	"(0, 1, 1)"	"(0.000000, -1.000000, -0.500000)"
E	1	2	sigma_y	1/4	"(0, 1, 0)"	"(0, -1, 1)"	"(0.000000, -1.000000, -0.500000)"
E	1	2	sigma_d1	-1/4*I	"(1, 0, 0)"	"(-1, 0, 1)"	"(0.000000, -1.000000, -0.500000)"
E	1	2	sigma_d2	1/4*I	"(-1, 0, 0)"	"(1, 0, 1)"	"(0.000000, -1.000000, -0.500000)"
E	2	2	E	1/4	"(0, 0, 1)"	"(0, 0, 0)"	"(0.000000, 0.000000, 0.500000)"
E	2	2	C4z+	-1/4*I	"(0, 0, 1)"	"(0, 0, 0)"	"(0.000000, 0.000000, 0.500000)"
E	2	2	C4z-	1/4*I	"(0, 0, 1)"	"(0, 0, 0)"	"(0.000000, 0.000000, 0.500000)"
E	2	2	C2z	-1/4	"(0, 0, 1)"	"(0, 0, 0)"	"(0.000000, 0.000000, 0.500000)"
E	2	2	E	1/4	"(0, 0, 0)"	"(0, 0, 1)"	"(0.000000, 0.000000, -0.500000)"
E	2	2	C4z+	-1/4*I	"(0, 0, 0)"	"(0, 0, 1)"	"(0.000000, 0.000000, -0.500000)"
